# SignalP-6.0	Organism: Other	Timestamp: 20240329003430
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
H_panicea_OTU4_sp__233_scaffold4,112625,f24Z112625,1_28896_29594___gene_type_bacteria	SP	0.000402	0.998754	0.000262	0.000231	0.000192	0.000182	CS pos: 22-23. Pr: 0.9772
H_panicea_OTU4_sp__234_scaffold4,112625,f24Z112625,1_29676_30263___gene_type_bacteria	SP	0.000412	0.998731	0.000253	0.000236	0.000191	0.000184	CS pos: 21-22. Pr: 0.9757
H_panicea_OTU4_sp__235_scaffold4,112625,f24Z112625,1_30311_30799___gene_type_bacteria	SP	0.000245	0.999107	0.000190	0.000184	0.000147	0.000146	CS pos: 21-22. Pr: 0.9720
H_panicea_OTU4_sp__236_scaffold4,112625,f24Z112625,1_30816_31238___gene_type_bacteria	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
H_panicea_OTU4_sp__237_scaffold4,112625,f24Z112625,1_31280_31669___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_panicea_OTU4_sp__252_scaffold4,112625,f24Z112625,1_46010_46924___gene_type_bacteria	SP	0.000382	0.998785	0.000253	0.000226	0.000186	0.000182	CS pos: 21-22. Pr: 0.9789
H_panicea_OTU4_sp__347_scaffold3,127152,f42Z127152,1_36071_37513_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 17-18. Pr: 0.9959
H_panicea_OTU4_sp__390_scaffold1,238466,f63Z238466,1_32192_33508_-_gene_type_bacteria	SP	0.000470	0.998525	0.000327	0.000281	0.000219	0.000206	CS pos: 26-27. Pr: 0.9740
H_panicea_OTU4_sp__409_scaffold1,238466,f63Z238466,1_53212_54948___gene_type_bacteria	SP	0.000651	0.664853	0.333705	0.000285	0.000247	0.000274	CS pos: 30-31. Pr: 0.6488
H_panicea_OTU4_sp__650_scaffold23,25960,f12Z25960,1_1629_3785_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_panicea_OTU4_sp__903_scaffold46,5082,f39Z5082,1_2903_3802_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_panicea_OTU4_sp__1106_scaffold9,74201,f7Z74201,1_8268_8933_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_panicea_OTU4_sp__1107_scaffold9,74201,f7Z74201,1_8956_9756_-_gene_type_bacteria	SP	0.003629	0.995481	0.000286	0.000245	0.000200	0.000190	CS pos: 27-28. Pr: 0.9648
H_panicea_OTU4_sp__1224_scaffold8,80262,f35Z80262,1_51936_53282_-_gene_type_bacteria	SP	0.000215	0.999142	0.000193	0.000179	0.000138	0.000137	CS pos: 22-23. Pr: 0.9794
H_panicea_OTU4_sp__1331_scaffold36,9417,f23Z9417,1_7994_9247___gene_type_bacteria	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
H_panicea_OTU4_sp__1416_scaffold40,7334,f40Z7334,1,rc_scaffold61,2969,f6Z2969,1,rc_4577_5077___gene_type_bacteria	SP	0.000228	0.999133	0.000185	0.000175	0.000144	0.000142	CS pos: 22-23. Pr: 0.9776
H_panicea_OTU4_sp__1585_scaffold2,142002,f16Z142002,1,rc_scaffold17,45366,f15Z45366,1_59760_60302_-_gene_type_bacteria	SP	0.000237	0.999162	0.000171	0.000169	0.000133	0.000136	CS pos: 43-44. Pr: 0.9765
I_palmata_OTU1_sp__144_scaffold7,84234,r19z6393k22a0m100,f5Z77841,2,1_41557_43161___gene_type_bacteria	SP	0.000406	0.998779	0.000258	0.000227	0.000179	0.000170	CS pos: 22-23. Pr: 0.9809
I_palmata_OTU1_sp__159_scaffold7,84234,r19z6393k22a0m100,f5Z77841,2,1_58055_58840___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__160_scaffold7,84234,r19z6393k22a0m100,f5Z77841,2,1_58864_60057___gene_type_bacteria	LIPO	0.006505	0.045430	0.948042	0.000016	0.000001	0.000000	CS pos: 36-37. Pr: 0.9959
I_palmata_OTU1_sp__351_scaffold5,103580,f4Z103580,1,1_81366_82715_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__368_scaffold5,103580,f4Z103580,1,1_97804_100032___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__432_scaffold4,131050,f6Z131050,1,1_50150_51727_-_gene_type_bacteria	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__523_scaffold14,20697,f35Z20697,1,1_500_2098_-_gene_type_bacteria	SP	0.000488	0.998526	0.000303	0.000280	0.000222	0.000201	CS pos: 22-23. Pr: 0.9785
I_palmata_OTU1_sp__539_scaffold14,20697,f35Z20697,1,1_17428_18027___gene_type_bacteria	SP	0.000268	0.998966	0.000218	0.000199	0.000168	0.000162	CS pos: 32-33. Pr: 0.9733
I_palmata_OTU1_sp__540_scaffold14,20697,f35Z20697,1,1_18372_19271___gene_type_bacteria	SP	0.000621	0.998398	0.000335	0.000253	0.000204	0.000183	CS pos: 22-23. Pr: 0.9787
I_palmata_OTU1_sp__542_scaffold14,20697,f35Z20697,1,1_19553_20215___gene_type_bacteria	SP	0.217941	0.780186	0.000731	0.000473	0.000349	0.000337	CS pos: 22-23. Pr: 0.7961
I_palmata_OTU1_sp__946_scaffold2,278870,f1Z278870,1,1_174886_175089_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__948_scaffold2,278870,f1Z278870,1,1_175695_175952_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__949_scaffold2,278870,f1Z278870,1,1_175982_176122_-_gene_type_bacteria	OTHER	0.999983	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__977_scaffold2,278870,f1Z278870,1,1_192890_193537___gene_type_bacteria	SP	0.000273	0.999017	0.000209	0.000196	0.000155	0.000147	CS pos: 30-31. Pr: 0.9783
I_palmata_OTU1_sp__979_scaffold2,278870,f1Z278870,1,1_193920_195074___gene_type_bacteria	SP	0.000584	0.998357	0.000340	0.000288	0.000229	0.000214	CS pos: 22-23. Pr: 0.9800
I_palmata_OTU1_sp__1006_scaffold2,278870,f1Z278870,1,1_224695_225675_-_gene_type_bacteria	SP	0.000284	0.998947	0.000222	0.000209	0.000168	0.000160	CS pos: 22-23. Pr: 0.9772
I_palmata_OTU1_sp__1007_scaffold2,278870,f1Z278870,1,1_226000_228111_-_gene_type_bacteria	SP	0.000745	0.998066	0.000386	0.000326	0.000247	0.000232	CS pos: 22-23. Pr: 0.9804
I_palmata_OTU1_sp__1009_scaffold2,278870,f1Z278870,1,1_228865_229353_-_gene_type_bacteria	OTHER	0.597090	0.402388	0.000122	0.000153	0.000124	0.000111	
I_palmata_OTU1_sp__1103_scaffold12,30484,f12Z30484,1,1_8790_10337_-_gene_type_bacteria	SP	0.000171	0.999270	0.000150	0.000153	0.000128	0.000125	CS pos: 21-22. Pr: 0.9801
I_palmata_OTU1_sp__1451_scaffold1,324557,f2Z324557,1,1_317924_319186___gene_type_bacteria	SP	0.000396	0.998772	0.000251	0.000233	0.000178	0.000173	CS pos: 27-28. Pr: 0.9783
I_palmata_OTU1_sp__1513_scaffold9,65685,f8Z53010k7a0m100,r16z12675,1,rc_scaffold23,5775,f37Z5775,1,1_45490_46281_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__1612_scaffold8,75291,f10Z75291,1_scaffold15,20033,f9Z20033,1,1_76450_78405_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
I_palmata_OTU1_sp__1617_scaffold8,75291,f10Z75291,1_scaffold15,20033,f9Z20033,1,1_82815_83696_-_gene_type_bacteria	SP	0.000303	0.998922	0.000229	0.000208	0.000166	0.000158	CS pos: 22-23. Pr: 0.9810
GCA_002897635_OTU3_fl__142_BDTD01000004.1_49901_50770___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__287_BDTD01000005.1_63208_65538_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__392_BDTD01000006.1_61671_63785_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__394_BDTD01000006.1_64826_65749_-_gene_type_bacteria	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__398_BDTD01000006.1_68237_68953_-_gene_type_bacteria	SP	0.034076	0.964664	0.000504	0.000339	0.000231	0.000200	CS pos: 50-51. Pr: 0.9738
GCA_002897635_OTU3_fl__408_BDTD01000006.1_79336_79875_-_gene_type_bacteria	SP	0.000291	0.998919	0.000231	0.000222	0.000170	0.000174	CS pos: 25-26. Pr: 0.9775
GCA_002897635_OTU3_fl__681_BDTD01000009.1_115470_116633_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 17-18. Pr: 0.9977
GCA_002897635_OTU3_fl__682_BDTD01000009.1_116630_117277_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__700_BDTD01000009.1_132109_132534_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__797_BDTD01000011.1_35838_37289___gene_type_bacteria	SP	0.000182	0.999215	0.000158	0.000167	0.000134	0.000138	CS pos: 26-27. Pr: 0.9681
GCA_002897635_OTU3_fl__810_BDTD01000011.1_46707_47594_-_gene_type_bacteria	LIPO	0.000001	0.000027	0.999969	0.000000	0.000000	0.000000	CS pos: 27-28. Pr: 0.9970
GCA_002897635_OTU3_fl__842_BDTD01000011.1_73583_73984_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002897635_OTU3_fl__2204_BDTD01000033.1_71656_73407___gene_type_bacteria	LIPO	0.000046	0.166502	0.833368	0.000027	0.000023	0.000024	CS pos: 14-15. Pr: 0.8156
GCA_002897635_OTU3_fl__2384_BDTD01000036.1_37752_38729_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__43_CACFLG010000001.1_54448_56421_-_gene_type_archaea	LIPO	0.014446	0.069984	0.914776	0.000707	0.000061	0.000038	CS pos: 35-36. Pr: 0.9973
GCA_902567095_OTU7_fl__313_CACFLG010000004.1_4771_5343___gene_type_bacteria	SP	0.000281	0.998916	0.000245	0.000212	0.000167	0.000173	CS pos: 25-26. Pr: 0.9717
GCA_902567095_OTU7_fl__560_CACFLG010000007.1_54932_55777___gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__602_CACFLG010000008.1_48044_50218___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__697_CACFLG010000011.1_3_842___gene_type_bacteria_partial_10	SP	0.000230	0.999082	0.000219	0.000187	0.000154	0.000149	CS pos: 33-34. Pr: 0.9672
GCA_902567095_OTU7_fl__996_CACFLG010000021.1_1_1440___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1009_CACFLG010000021.1_16305_18236_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1134_CACFLG010000028.1_2_1261___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1135_CACFLG010000028.1_1665_3488___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1136_CACFLG010000028.1_3548_5599___gene_type_bacteria	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1137_CACFLG010000028.1_5708_6601_-_gene_type_bacteria	SP	0.000262	0.999015	0.000221	0.000184	0.000157	0.000148	CS pos: 19-20. Pr: 0.9514
GCA_902567095_OTU7_fl__1223_CACFLG010000033.1_12583_13443_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1279_CACFLG010000038.1_3_1559___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1328_CACFLG010000042.1_1972_3180_-_gene_type_archaea	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9972
GCA_902567095_OTU7_fl__1329_CACFLG010000042.1_3180_3869_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1441_CACFLG010000051.1_8397_9512___gene_type_bacteria_partial_01	SP	0.000186	0.999248	0.000159	0.000161	0.000130	0.000124	CS pos: 24-25. Pr: 0.8659
GCA_902567095_OTU7_fl__1546_CACFLG010000064.1_375_3776_-_gene_type_bacteria	SP	0.000196	0.999208	0.000165	0.000165	0.000135	0.000130	CS pos: 22-23. Pr: 0.9806
GCA_902567095_OTU7_fl__1634_CACFLG010000079.1_1801_3462___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1650_CACFLG010000084.1_3_371_-_gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1652_CACFLG010000084.1_1657_3111_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_902567095_OTU7_fl__1671_CACFLG010000091.1_2_703_-_gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__430_VYFG01000005.1_6861_8426___gene_type_bacteria	SP	0.000233	0.999014	0.000183	0.000211	0.000166	0.000168	CS pos: 27-28. Pr: 0.9622
GCA_009842505_OTU3_sp__992_VYFG01000072.1_3193_3771_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__1351_VYFG01000052.1_54934_56142___gene_type_bacteria	SP	0.000365	0.998834	0.000241	0.000220	0.000174	0.000169	CS pos: 23-24. Pr: 0.9793
GCA_009842505_OTU3_sp__1539_VYFG01000071.1_4311_4772_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__1745_VYFG01000113.1_5751_6620_-_gene_type_bacteria	SP	0.000386	0.998702	0.000265	0.000251	0.000202	0.000198	CS pos: 18-19. Pr: 0.9766
GCA_009842505_OTU3_sp__2042_VYFG01000020.1_39312_39962___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__2446_VYFG01000148.1_4698_5756_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__2690_VYFG01000094.1_7962_10958_-_gene_type_bacteria	OTHER	0.999983	0.000000	0.000001	0.000001	0.000001	0.000001	
GCA_009842505_OTU3_sp__2914_VYFG01000049.1_1759_2718___gene_type_bacteria	OTHER	0.999979	0.000024	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__3093_VYFG01000048.1_58173_58919_-_gene_type_bacteria	SP	0.000518	0.998481	0.000302	0.000298	0.000225	0.000205	CS pos: 22-23. Pr: 0.9682
GCA_009842505_OTU3_sp__3206_VYFG01000091.1_2907_4946___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_009842505_OTU3_sp__3249_VYFG01000123.1_3829_4884_-_gene_type_archaea	SP	0.000400	0.998640	0.000282	0.000268	0.000220	0.000218	CS pos: 18-19. Pr: 0.9779
GCA_009842505_OTU3_sp__3394_VYFG01000145.1_57314_57868___gene_type_bacteria	SP	0.000203	0.999162	0.000177	0.000182	0.000154	0.000150	CS pos: 21-22. Pr: 0.9740
GCA_021296375_OTU23_sp__29_JAGWAQ010000002.1_176_976_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__30_JAGWAQ010000002.1_1033_1254_-_gene_type_bacteria_partial_01	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__31_JAGWAQ010000002.1_1367_1510_-_gene_type_bacteria_partial_10	OTHER	0.999980	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__32_JAGWAQ010000002.1_1494_1802_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__277_JAGWAQ010000081.1_1625_2956_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9970
GCA_021296375_OTU23_sp__449_JAGWAQ010000098.1_3672_5387_-_gene_type_bacteria	LIPO	0.000215	0.499231	0.500210	0.000124	0.000124	0.000105	CS pos: 22-23. Pr: 0.4957
GCA_021296375_OTU23_sp__501_JAGWAQ010000106.1_2934_3497___gene_type_bacteria	SP	0.000316	0.998928	0.000223	0.000219	0.000170	0.000171	CS pos: 28-29. Pr: 0.9693
GCA_021296375_OTU23_sp__553_JAGWAQ010000109.1_938_1474___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__637_JAGWAQ010000115.1_2701_3444___gene_type_bacteria	SP	0.000380	0.998848	0.000231	0.000219	0.000166	0.000167	CS pos: 24-25. Pr: 0.9769
GCA_021296375_OTU23_sp__1115_JAGWAQ010000014.1_17797_18144_-_gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__1319_JAGWAQ010000172.1_773_1204___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__1323_JAGWAQ010000172.1_2876_3169___gene_type_bacteria_partial_01	OTHER	0.668731	0.330051	0.000502	0.000241	0.000272	0.000182	
GCA_021296375_OTU23_sp__1445_JAGWAQ010000021.1_463_945___gene_type_bacteria	SP	0.000202	0.999147	0.000170	0.000182	0.000145	0.000145	CS pos: 25-26. Pr: 0.9805
GCA_021296375_OTU23_sp__1594_JAGWAQ010000026.1_28955_29905_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__1792_JAGWAQ010000033.1_3_854___gene_type_bacteria_partial_10	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_021296375_OTU23_sp__2055_JAGWAQ010000051.1_4731_5564___gene_type_bacteria	SP	0.000226	0.999054	0.000192	0.000210	0.000169	0.000165	CS pos: 36-37. Pr: 0.9842
GCA_014323925_OTU14_sp__1_JACONC010000001.1_2_496___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__20_JACONC010000001.1_20216_20695___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__22_JACONC010000001.1_22075_22593___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__156_JACONC010000001.1_172107_195941___gene_type_bacteria_partial_01	SP	0.383654	0.615768	0.000186	0.000167	0.000123	0.000115	CS pos: 58-59. Pr: 0.4984
GCA_014323925_OTU14_sp__157_JACONC010000002.1_105_4460___gene_type_bacteria	OTHER	0.999990	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__317_JACONC010000002.1_161428_162348___gene_type_bacteria	SP	0.000246	0.998955	0.000231	0.000216	0.000180	0.000174	CS pos: 31-32. Pr: 0.9702
GCA_014323925_OTU14_sp__369_JACONC010000003.1_97_576_-_gene_type_archaea	SP	0.000761	0.698346	0.300263	0.000264	0.000217	0.000174	CS pos: 33-34. Pr: 0.6777
GCA_014323925_OTU14_sp__408_JACONC010000003.1_37575_38447___gene_type_bacteria	SP	0.000364	0.998866	0.000226	0.000205	0.000173	0.000161	CS pos: 29-30. Pr: 0.9747
GCA_014323925_OTU14_sp__423_JACONC010000003.1_50060_52267_-_gene_type_bacteria	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__462_JACONC010000003.1_90998_92203_-_gene_type_bacteria	LIPO	0.000014	0.000312	0.999668	0.000002	0.000000	0.000000	CS pos: 31-32. Pr: 0.9956
GCA_014323925_OTU14_sp__463_JACONC010000003.1_92393_93100_-_gene_type_bacteria	OTHER	0.999967	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__506_JACONC010000004.1_3_3908_-_gene_type_bacteria_partial_10	SP	0.000191	0.999217	0.000164	0.000168	0.000143	0.000136	CS pos: 20-21. Pr: 0.9814
GCA_014323925_OTU14_sp__507_JACONC010000004.1_4131_7556_-_gene_type_bacteria	SP	0.000201	0.999177	0.000175	0.000171	0.000144	0.000139	CS pos: 20-21. Pr: 0.9715
GCA_014323925_OTU14_sp__670_JACONC010000005.1_69436_72219_-_gene_type_bacteria	SP	0.000274	0.998990	0.000208	0.000213	0.000167	0.000150	CS pos: 32-33. Pr: 0.9746
GCA_014323925_OTU14_sp__754_JACONC010000006.1_58074_61061___gene_type_bacteria_partial_01	SP	0.000273	0.998935	0.000233	0.000215	0.000170	0.000165	CS pos: 28-29. Pr: 0.9663
GCA_014323925_OTU14_sp__755_JACONC010000006.1_61111_62835___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__757_JACONC010000006.1_64274_77632___gene_type_bacteria	SP	0.002729	0.996646	0.000164	0.000175	0.000154	0.000133	CS pos: 44-45. Pr: 0.8762
GCA_014323925_OTU14_sp__812_JACONC010000006.1_136059_142355___gene_type_bacteria_partial_01	SP	0.016298	0.982968	0.000199	0.000212	0.000159	0.000154	CS pos: 32-33. Pr: 0.9721
GCA_014323925_OTU14_sp__872_JACONC010000007.1_65171_66622___gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__873_JACONC010000008.1_1_906___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__891_JACONC010000008.1_18442_54459___gene_type_bacteria_partial_01	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__892_JACONC010000009.1_2_1585___gene_type_bacteria_partial_10	SP	0.334082	0.665459	0.000157	0.000122	0.000105	0.000091	CS pos: 19-20. Pr: 0.6486
GCA_014323925_OTU14_sp__1126_JACONC010000013.1_28955_38551___gene_type_bacteria_partial_01	SP	0.000217	0.999157	0.000186	0.000174	0.000142	0.000140	CS pos: 39-40. Pr: 0.9751
GCA_014323925_OTU14_sp__1127_JACONC010000014.1_3_6107_-_gene_type_bacteria_partial_10	SP	0.000193	0.999206	0.000162	0.000159	0.000124	0.000126	CS pos: 23-24. Pr: 0.9777
GCA_014323925_OTU14_sp__1216_JACONC010000015.1_35462_37186_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__1259_JACONC010000017.1_12451_16989_-_gene_type_bacteria	OTHER	0.999993	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__1323_JACONC010000019.1_20928_21350_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__1360_JACONC010000022.1_9373_11496___gene_type_bacteria	SP	0.000187	0.999233	0.000159	0.000158	0.000129	0.000127	CS pos: 21-22. Pr: 0.9767
GCA_014323925_OTU14_sp__1361_JACONC010000022.1_11435_26446___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__1362_JACONC010000022.1_27226_29295___gene_type_bacteria_partial_01	SP	0.000182	0.999270	0.000154	0.000155	0.000124	0.000121	CS pos: 23-24. Pr: 0.9784
GCA_014323925_OTU14_sp__1377_JACONC010000023.1_13187_14902_-_gene_type_archaea	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_014323925_OTU14_sp__1438_JACONC010000028.1_267_3017_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
